objectid,id,kind,location,creator,title,date,publisher,volume,record company,medium,description,ISBN-10,ISBN-13,OCLC,language,resources,related materials,media,format,filename,source,youtubeid
315,310,book,D3," Freed, Leonard",Leonard Freed: Black in White America: 1963– 1965,2020,London: Reel Art Press,,,," Photobook Photography
Civil Rights Movement",ISBN-10: 1909526770,ISBN-13: 9781909526778,,,,,,image/jpeg,,,
316,311,book,D3," Liebert, Emily and Nadiah Rivera Fellah",Picturing Motherhood Now,2021,Cleveland: Cleveland Museum of Art,,,," Exhibition catalogue Women artists
Motherhood and Children",ISBN-10: 0300260067,ISBN-13: 9780300260069,,,https://www.clevelandart.org/exhibitions/picturing-motherhood-now,,,image/jpeg,,,
317,312,book,D3," Umberger, Leslie",Between Worlds: The Art of Bill Traylor,2018," Washington, DC: Smithsonian American Art Museum; Princeton: Princeton University Press",,,," Artist monograph Exhibition catalogue
African American Art History Folk Art
Signed by Kerry James Marshall,
writer of the introduction",ISBN-10: 0691182671,ISBN-13: 9780691182674,,,https://americanart.si. edu/exhibitions/traylor,,,image/jpeg,,,
318,313,book,D3," Fant, Ake; translated by Ruth Urbom",Hilma af Klint: Occult Painter and Abstract Pioneer,2021,Stockholm: Bokförlaget Stolpe,,,,Artist monograph Women artists Modern art,ISBN-10: 9189069471,ISBN-13: 9789189069473,,,,,,image/jpeg,,,
319,314,book,D3," James, Jamillah and Margot Norton",Soft Water Hard Stone: 2021 New Museum Triennial,2021,New York: New Museum; London: Phaidon Press,,,,Exhibition catalogue Contemporary Art,ISBN-10: 1838664033,ISBN-13: 9781838664039,,,"https://www.newmuseum. org/exhibitions/view/2021-triennial-soft-
water-hard-stone",,,image/jpeg,,,
320,315,book,D3," Derby, Doris",A Civil Rights Journey,2021,London: MACK Books,,,," Photobook Photography Women artists
Civil Rights Movement
Includes small photo signed by the artist",ISBN-10: 1913620441,ISBN-13: 9781913620448,,,,,,image/jpeg,,,
321,316,book,D3," Rosenfeld, Michael, Jonathan P. Binstock and Lowery Stokes Sims",African American Art: 200 Years: 40 Distinctive Voices Reveal the Breadth of Nineteenth and Twentieth Century Art,2008,New York: Michael Rosenfeld Gallery,,,," Exhibition catalogue
African American Art History",ISBN-10: 1930416431,ISBN-13: 9781930416437,,,https://www.michaelrosenfeldart. com/exhibitions/african-american-art- 200-years,,,image/jpeg,,,
322,317,book,D3," Summers, Barbara"," Skin deep: Inside the World of Black Fashion
Models",1998,New York: Amistad Press,,,," Fashion
Style Photography
African American Models",ISBN-10: 1567430317,ISBN-13: 9781567430318,,,,,,image/jpeg,,,
323,318,book,D3," Marshall, Patricia Phillips and Jo Ramsay Leimenstoll",Thomas Day: Master Craftsman and Free Man of Color,2010,Chapel Hill: University of North Carolina Press,,,," Artist monograph Exhibition catalogue
African American Art History Craft and Decorative Arts Architecture",ISBN-10: 080783341X,ISBN-13: 9780807833414,,,https://americanart.si.edu/exhibitions/day,,,image/jpeg,,,
324,319,book,D3," Morris, Frances and Tiffany Bell, eds.",Agnes Martin,2015,London: Tate Publishing; New York: D. A.P./Distributed Art Publishers Inc.,,,,Artist monograph Exhbition catalogue Women artists Painting,ISBN-10: 193892276X,ISBN-13: 9781938922763,,,https://www.tate.org.uk/whats-on/tate- modern/agnes-martin,,,image/jpeg,,,
325,320,book,D3," Fajardo-Hill, Cecilia and Andrea Giunta","Radical Women: Latin American Art, 1960- 1985",2017," Los Angeles: Hammer Museum, University of California, Los Angeles; Munich: DelMonico Books/Prestel",,,," Exhibition catalogue Women artists
Latin American Art
American Art",ISBN-10: 3791356801,ISBN-13: 9783791356808,,,https://hammer.ucla.edu/radical-women,,,image/jpeg,,,
326,321,book,D3," Enwezor, Okwui, ed.",Frank Bowling: Mappa Mundi,2017,Munich: Haus der Kunst; Prestel,,,," Artist monograph Exhibition catalogue
Painting",ISBN-10: 3791356585,ISBN-13: 9783791356587,,,"https://www.hausderkunst. de/en/exhibitions/frank-bowling-mappa-
mundi-1",,,image/jpeg,,,
327,322,book,D3," Rosen, Barry, ed."," Eva Hesse: Oberlin Drawings: Drawings in the
Collection of the Allen Memorial Art Museum, Oberlin College",2019,New York: Hauser & Wirth Publishers,,,," Artist monograph
Women artists Drawing",ISBN-10: 3906915395,ISBN-13: 9783906915395,,,"https://amam.oberlin.edu/exhibitions-
events/exhibitions/2022/02/22/forms- larger-and-bolder-eva-hesse-drawings",,,image/jpeg,,,
328,323,book,D3," Sussman, Elisabeth and Fred Wasserman",Eva Hesse: Sculpture,2006,New York: Jewish Museum; New Haven: Yale University Press,,,," Artist monograph Exhbition catalogue Women artists
Sculpture",ISBN-10: 0300114184,ISBN-13: 9780300114188,,,https://thejewishmuseum. org/exhibitions/eva-hesse-sculpture,,,image/jpeg,,,
329,324,book,D1," Roberts, Veronica, ed.",Converging Lines: Eva Hesse and Sol LeWitt,2014,New Haven: Yale University Press; Austin: Blanton Museum of Art,,,,Exhibition catalogue Sculpture,ISBN-10: 0300204825,ISBN-13: 9780300204827,,,https://blantonmuseum. org/exhibition/converging-lines-eva- hesse-and-sol-lewitt/,,,image/jpeg,,,
330,325,book,D3," Oehler, Sarah Kelly and Esther
Adler, eds.",Charles White: A Retrospective,2018," New York: Museum of Modern Art;
Chicago: Art Institute of Chicago; New Haven: Yale University Press",,,," Exhibition catalogue
Artist monograph
African American Art History",ISBN-10: 0300232985,ISBN-13: 9780300232981,,,"https://www.artic.
edu/exhibitions/2663/charles-white-a- retrospective
https://www.moma. org/calendar/exhibitions/3930 https://www.lacma. org/art/exhibition/charles-white- retrospective",,,image/jpeg,,,
331,326,book,D3," Alley-Barnes, Maikoyio and Jo-Anne Birnie Danzker, eds."," Young Blood: Noah Davis, Kahlil Joseph, The Underground Museum",2016,Seattle: Frye Art Museum,,,," Exhibition catalogue
African American Art History",ISBN-10: 0988949571,ISBN-13: 9780988949577,,," https://fryemuseum. org/exhibitions/young-blood-noah-davis-
kahlil-joseph-underground-museum",,,image/jpeg,,,
332,327,book,D3," Molesworth, Helen",Noah Davis,2020,New York : David Zwirner Books; Los Angeles: The Underground Museum,,,," Artist monograph Exhibition catalogue
Painting",ISBN-10: 1644230372,ISBN-13: 9781644230374,,,https://www.davidzwirner. com/exhibitions/2020/noah-davis-2020,,,image/jpeg,,,
333,328,book,D3," Nooter, Mary H.",Secrecy: African Art that Conceals and Reveals,1993,New York: The Museum for African Art; Munich: Prestel,,,,Exhibition catalogue African Art,ISBN-10: 0945802129,ISBN-13: 9780945802129,,,,,,image/jpeg,,,
334,329,book,D3," Weissberg, Stephanie and Heather Alexis Smith",Terry Adkins: Resounding,2020,St. Louis: Pulitzer Arts Foundation,,,,Artist monograph Exhibition catalogue,ISBN-10: 1646570057,ISBN-13: 9781646570058,,,https://pulitzerarts.org/art/terry-adkins/,,,image/jpeg,,,
335,330,book,D3," Berry, Ian, ed.",Terry Adkins: Recital,2017,Saratoga Springs: Frances Young Tang Teaching Museum and Art Gallery at Skidmore College; Munich: DelMonico Books/Prestel,,,,Artist monograph Exhibition catalogue,ISBN-10: 379135275X,ISBN-13: 9783791352756,,,https://tang.skidmore. edu/exhibitions/62-terry-adkins-recital,,,image/jpeg,,,
336,331,book,D1," Thompson, Robert Farris, Bobby L. Lovett, Rusty Freeman, Judith McWillie, Grey Gundaker, and
Lowery Stokes Sims",The Art of William Edmondson,1999,Nashville: Cheekwood Museum of Art; Jackson: University Press of Mississippi,,,,Artist monograph Exhibition catalogue,ISBN-10: 1578061814,ISBN-13: 9781578061815,,,,,,image/jpeg,,,
337,332,book," Not on shelf;
with Kilolo"," Buchhart, Dieter and Eleanor
Nairne with Lotte Johnson, eds.",Basquiat: Boom for Real,2020,Munich; London: Prestel,,,," Artist monograph
Exhibition catalogue",ISBN-10: 3791359509,ISBN-13: 9783791359502,,,"https://www.barbican.org.uk/whats-
on/2017/event/basquiat-boom-for-real",,,image/jpeg,,,
338,333,book,D3," Kirkham, Pat, ed."," Eva Zeisel: Life, Design, and Beauty",2013,San Francisco: Chronicle Books,,,," Artist monograph Women artists
Craft and Decorative Arts
Ceramics",ISBN-10: 1452108528,ISBN-13: 9781452108520,,,,,,image/jpeg,,,
339,334,book,D3," Hubert, Bellatrix, ed.",Alice Neel: Freedom,2019,New York: David Zwirner Books,,,," Artist monograph Exhibition catalogue Women artists
Painting",ISBN-10: 1941701981,ISBN-13: 9781941701980,,,https://www.davidzwirner.com/exhibitions/2019/freedom-0,,,image/jpeg,,,
340,335,book,D3," Haskell, Barbara",Georgia O'Keeffe: Works on Paper,1985,Santa Fe: Museum of New Mexico Press,,,,Artist monograph Exhibition catalogue Women artists,ISBN-10: 0890131538,ISBN-13: 9780890131534,,,,,,image/jpeg,,,
341,336,book,D3," Tipton-Martin, Toni"," The Jemima Code: Two Centuries of African
American Cookbooks",2015,Austin: University of Texas Press,,,," Cookbooks
African American History",ISBN-10: 0292745486,ISBN-13: 9780292745483,,,,,,image/jpeg,,,
342,337,book,D3," Concept: Chimurenga; Ntone Edjabe, ed.",FESTAC '77: 2nd World Black and African Festival of Arts and Culture,2019,Capetown: Afterall Books,,,," African Diaspora
African American Art History FESTAC",ISBN-10: 3960984499,ISBN-13: 9783960984498,,,https://chimurengachronic.co.za/,,,image/jpeg,,,
343,338,book,D3," Eckhardt, Sarah L.",Working Together: Louis Draper and the Kamoinge Workshop,2020,Richmond: Virginia Museum of Fine Arts; Durham: Duke University Press,,,," Exhibition catalogue
African American Art History Photography",ISBN-10: 1934351172,ISBN-13: 9781934351178,,," https://vmfa. museum/exhibitions/exhibitions/workin g-together-kamoinge/
https://whitney.
org/exhibitions/kamoinge-workshop",,,image/jpeg,,,
344,339,book,E2,[Sarah] Cooper & [Nina] Gorfer," Between These Folded Walls, Utopia",2021,Stockholm: Bokförlaget Max Ström,,,," Photography Artist book Women artists
Signed by Sarah Cooper",ISBN-10: 9171265503,ISBN-13: 9789171265500,,,https://www.coopergorfer. com/work/utopia,,,image/jpeg,,,
345,340,book,D1," Tilton, Connie Rogers and Lindsay
Charlwood, eds.",L.A. Object & David Hammons Body Prints,2007,New York: Tilton Gallery,,,," Exhibition catalogue
Artist monograph",ISBN-10: 1427613745,ISBN-13: 9781427613745,,,,,,image/jpeg,,,
346,341,book,D1," Ford, Clyde W.",The Hero with an African Face: Mythic Wisdom of Traditional Africa,1999,New York: Bantam Books,,,," African mythology Religion
Spirituality",ISBN-10: 0553105442,ISBN-13: 9780553105445,,,,,,image/jpeg,,,
347,342,book,D1," Deetz, Kelley Fanto"," Bound to the Fire: How Virginia's Enslaved
Cooks Helped Invent American Cuisine",2017,Lexington: University of Kentucky Press,,,," African American History
Cooking",ISBN-10: 0813174732,ISBN-13: 9780813174730,,,,,,image/jpeg,,,
348,343,book,D1," Baldwin, James",The Fire Next Time,1993,New York: Vintage,,,,"African American Studies
Essays
Originally published in 1963 by The Dial Press",ISBN-10: 067974472X,ISBN-13: 9780679744726,,,,,,image/jpeg,,,
349,344,book,D1," Northern, Tamara"," Royal Art of Cameroon: The Art of the
Bamenda-Tikar",1973," Hanover: Hopkins Center Art Galleries,
Dartmouth College",,,," Exhibition catalogue
African Art",,,,,,,,image/jpeg,,,
350,345,book,D1," Campt, Tina M.",Listening to Images,2017,Durham: Duke University Press,,,,Photography Photography African Diaspora Visual Culture Black Studies,ISBN-10: 0822362708,ISBN-13: 9780822362708,,,,,,image/jpeg,,,
351,346,book,D1," Camp, Stephanie M. H."," Closer to Freedom: Enslaved Women and
Everyday Resistance in the Plantation South",2004," Chapel Hill: University of North
Carolina Press",,,," African American History
Women's Studies",ISBN-10: 0807855340,ISBN-13: 9780807855348,,,,,,image/jpeg,,,
352,347,book,D1," Princenthal, Nancy",Agnes Martin: Her Life and Art,2015,London: Thames & Hudson,,,,Biography Women artists Painting,ISBN-10: 0500093903,ISBN-13: 9780500093900,,,,,,image/jpeg,,,
353,348,book,D1," Perry, Imani"," More Beautiful and More Terrible: The
Embrace and Transcendence of Racial Inequality in the United States",2011,New York: New York University Press,,,,African American Studies,ISBN-10: 0814767370,ISBN-13: 9780814767375,,,,,,image/jpeg,,,
354,349,book,D1," Hadden, Sally E."," Slave Patrols: Law and Violence in Virginia and
the Carolinas",2003,Cambridge: Harvard University Press,,,,African American History,ISBN-10: 0674012348,ISBN-13: 9780674012349,,,,,,image/jpeg,,,
355,350,book,D1," Green, James",The Devil Is Here in These Hills: West Virginia's Coal Miners and Their Battle for Freedom,2016,New York: Grove Press,,,,African American History Labor History,ISBN-10: 0802124658,ISBN-13: 9780802124654,,," https://www.pbs. org/wgbh/americanexperience/films/the
minewars/",,,image/jpeg,,,
356,351,book,D1," Nadeau, Maurice; translated by Richard Howard",The History of Surrealism,1989,Cambridge: Belknap Press,,,,Art History Modern Art,ISBN-10: 0674403452,ISBN-13: 9780674403451,,,,,,image/jpeg,,,
357,352,book,D1," Mujica, Bárbara",Frida,2002,New York: Plume,,,," Fiction Novel
Women artists",ISBN-10: 0452283035,ISBN-13: 9780452283039,,,,,,image/jpeg,,,
358,353,book,D1," Herrera, Hayden",Frida: A Biography of Frida Kahlo,1983,New York: Perennial,,,," Biography Women artists Modern art
Painting",ISBN-10: 0060911271,ISBN-13: 9780060911270,,,,,,image/jpeg,,,
359,354,book,D1,Madrazo; Claudia,The Diary of Frida Kahlo: A New Perspective,2014,Mexico City: La Vaca Independiente,,,,Diaries Biography Women artists Painting Modern art,ISBN-10: 6079604299,ISBN-13: 9786079604295,,,https://lavacaindependiente.com/frida- kahlo-diario/,,,image/jpeg,,,
360,355,book,D1," Kettenmann, Andrea","Frida Kahlo, 1907-1954: Pain and Passion",2000,Cologne: Taschen,,,," Women artists Modern art
Painting",ISBN-10: 3822859834,ISBN-13: 9783822859834,,,,,,image/jpeg,,,
361,356,book,D1," Goodnough, Robert, ed.",Artists' Sessions at Studio 35 (1950),2011,Revised ed. San Francisco; Chicago: Soberscove Press/Wittenborn Art Books,,,,"Modern Art
Edited transcript of a series of meetings of artists, April 21-23, 1950, New York",ISBN-10: 0982409001,ISBN-13: 9780982409008,,,,,,image/jpeg,,,
362,357,book,C1," Reed, Ishmael",Mumbo Jumbo,1996,New York: Scribner,,,,"African American Literature Fiction
Originally published in 1972 by Doubleday",ISBN-10: 0684824779,ISBN-13: 9780684824772,,,,,,image/jpeg,,,
363,358,book,C1," Kim, Christine Y., ed.",Glenn Ligon: Stranger,2001,New York: Studio Museum in Harlem,,,," Exhibition catalogue Artist monograph
African American Art History",ISBN-10: 0942949196,ISBN-13: 9780942949193,,,,,,image/jpeg,,,
364,359,book,C1," Glaude Jr., Eddie S.,",Begin Again: James Baldwin's America and Its Urgent Lessons for Our Own,2020,New York: Crown,,,,African American History Civil Rights Movement,ISBN-10: 0525575324,ISBN-13: 9780525575320,,,,,,image/jpeg,,,
365,360,book,C1," Washington, Ethel M.",Union Country's: Black Soldiers and Sailors of the Civil War,2011,Charleston: The History Press,,,,African American History US/American Civil War,ISBN-10: 1596294469,ISBN-13: 9781596294462,,,,,,image/jpeg,,,
366,361,book,C1," Graham, Sandra Jean",Spirituals and the Birth of a Black Entertainment Industry,2018,Urbvana: University of Illinois Press,,,,African American History Music,ISBN-10: 025208327X,ISBN-13: 9780252083273,,,,,,image/jpeg,,,
367,362,book,C1," Wallace, Maurice O.","Constructing the Black Masculine: Identity and Ideality in African American Men's Literature
and Culture, 1775-1995",2002,Durham: Duke University Press,,,," African American Studies Gender StudiesAfrican American
Literature",ISBN-10: 0822328690,ISBN-13: 9780822328698,,,,,,image/jpeg,,,
368,363,book,C1," Zorach, Rebecca","Art for People's Sake: Artists and Community in Black Chicago, 1965-1975",2019,Durham: Duke University Press,,,,African American Art History Black Arts Movement Africobra,ISBN-10: 1478001402,ISBN-13: 9781478001409,,,,,,image/jpeg,,,
369,364,book,C3," Als, Hilton and Suzette Lane
McAvoy",Reggie Burrows Hodges,2021,New York: Karma Books,,,," Exhibition catalogue
Painting",ISBN-10: 1949172562,ISBN-13: 978194917256,,," https://karmakarma.
org/exhibitions/reggie-burrows-hodges/",,,image/jpeg,,,
370,365,book,C1," Massaquoi, Hans J.",Destined to Witness: Growing Up Black in Nazi Germany,2001,New York: Perennial,,,," Biography Memoir
World War II",ISBN-10: 0060959614,ISBN-13: 9780060959616,,,,,,image/jpeg,,,
371,366,book,C1," Cooney, Kara",When Women Ruled the World: Six Queens of Egypt,2020," Washington, DC: National Geographic",,,," Egypt
African History Women's Studies",ISBN-10: 142622088X,ISBN-13: 9781426220883,,,,,,image/jpeg,,,
372,367,book,C1," Chiu, Melissa and Michelle Yun,
eds.",Nam June Paik: Becoming Robot,2014," New York: Asia Society Museum; New
Haven: Yale University Press",,,," Exhibition catalogue
Artist monograph Video art",ISBN-10: 0300209215,ISBN-13: 9780300209211,,,"https://asiasociety.org/new-
york/exhibitions/nam-june-paik- becoming-robot-1",,,image/jpeg,,,
373,368,book,C1," David, Marlo D.",Mama's Gun: Black Maternal Figures and the Politics of Transgression,2016,Columbus: Ohio State University Press,,,," Black Studies Cultural Criticism Women's Studies
Motherhood",ISBN-10: 0814253695,ISBN-13: 9780814253694,,,,,,image/jpeg,,,
374,369,book,C1," Nash, Jennifer C."," The Black Body in Ecstasy: Reading Race, Reading Pornography",2014,Durham: Duke University Press,,,," Film Studies
African American Studies Women's Studies
Black Feminism",ISBN-10: 0822356201,ISBN-13: 9780822356202,,,,,,image/jpeg,,,
